Miles,Date,Competitor
2.5,2024-02-01 21:09:00,User_1
2.0,2024-02-05 10:02:00,User_1
3.0,2024-02-06 16:46:00,User_1
2.5,2024-02-07 20:54:00,User_1
3.1,2024-02-09 16:45:00,User_1
2.23,2024-02-11 17:08:00,User_1
3.5,2024-02-12 19:01:00,User_1
1.5,2024-02-16 20:34:00,User_1
1.0,2024-02-17 14:18:00,User_1
1.75,2024-02-18 21:15:00,User_1
4.0,2024-02-20 20:21:00,User_1
4.0,2024-02-21 18:00:00,User_1
2.23,2024-02-29 08:54:00,User_1
3.0,2024-03-04 19:15:00,User_1
3.0,2024-03-12 11:40:00,User_1
2.0,2024-03-12 11:40:00,User_1
3.5,2024-03-14 17:00:00,User_1
2.0,2024-03-14 17:01:00,User_1
4.0,2024-03-21 19:37:00,User_1
3.0,2024-03-23 13:57:00,User_1
1.5,2024-03-28 06:04:00,User_1
3.0,2024-03-29 07:47:00,User_1
4.0,2024-04-05 06:12:00,User_1
1.5,2024-04-05 06:12:00,User_1
1.5,2024-04-05 11:42:00,User_1
3.0,2024-04-08 18:03:00,User_1
1.0,2024-04-29 20:18:00,User_1
1.0,2024-05-06 19:55:00,User_1
2.0,2024-09-11 07:12:00,User_1
1.59,2024-09-11 07:13:00,User_1
1.63,2024-09-11 07:14:00,User_1
2.03,2024-09-11 07:17:00,User_1
3.13,2024-09-12 07:33:00,User_1
2.07,2024-09-13 18:40:00,User_1
1.0,2024-09-13 18:40:00,User_1
0.53,2024-09-15 04:53:00,User_1
2.32,2024-09-15 22:13:00,User_1
2.47,2024-09-17 19:14:00,User_1
1.86,2024-09-18 19:21:00,User_1
2.69,2024-09-18 19:21:00,User_1
3.06,2024-09-20 08:00:00,User_1
2.38,2024-09-22 08:54:00,User_1
3.19,2024-09-22 08:55:00,User_1
1.27,2024-09-25 19:45:00,User_1
2.84,2024-09-25 19:45:00,User_1
2.47,2024-09-26 09:16:00,User_1
2.08,2024-09-28 16:13:00,User_1
2.0,2024-09-28 16:13:00,User_1
2.66,2024-09-30 09:19:00,User_1
3.26,2024-09-30 09:19:00,User_1
2.5,2024-02-04 21:18:00,User_2
3.0,2024-02-05 11:09:00,User_2
4.0,2024-02-06 15:36:00,User_2
4.0,2024-02-09 15:50:00,User_2
2.5,2024-02-11 18:29:00,User_2
4.0,2024-02-13 11:08:00,User_2
2.5,2024-02-18 15:29:00,User_2
3.0,2024-02-19 19:22:00,User_2
4.0,2024-02-20 11:06:00,User_2
2.0,2024-02-22 18:01:00,User_2
6.2,2024-02-25 15:47:00,User_2
4.3,2024-02-26 14:59:00,User_2
3.0,2024-02-28 10:39:00,User_2
4.0,2024-03-05 14:16:00,User_2
6.0,2024-03-07 12:33:00,User_2
2.0,2024-03-08 11:08:00,User_2
4.0,2024-03-10 11:23:00,User_2
8.0,2024-03-11 15:26:00,User_2
3.0,2024-03-23 22:26:00,User_2
4.0,2024-03-24 10:42:00,User_2
2.0,2024-04-01 09:33:00,User_2
2.5,2024-04-04 16:19:00,User_2
2.5,2024-04-08 10:55:00,User_2
3.5,2024-04-10 11:17:00,User_2
3.93,2024-09-12 12:55:00,User_2
3.82,2024-09-12 15:43:00,User_2
2.5,2024-09-16 14:19:00,User_2
4.27,2024-09-17 16:52:00,User_2
4.27,2024-09-20 15:25:00,User_2
2.5,2024-09-23 13:40:00,User_2
4.13,2024-09-24 13:11:00,User_2
3.84,2024-09-26 11:08:00,User_2
4.0,2024-09-30 15:31:00,User_2
4.06,2024-10-02 16:00:00,User_2
2.3,2024-10-06 14:09:00,User_2
2.5,2024-10-14 15:52:00,User_2
3.61,2024-10-16 05:08:00,User_2
3.5,2024-10-18 17:27:00,User_2
2.07,2024-10-31 10:38:00,User_2
3.77,2024-10-31 10:38:00,User_2
2.08,2024-10-31 10:38:00,User_2
4.01,2024-11-07 13:18:00,User_2
2.44,2024-11-07 13:18:00,User_2
3.0,2024-11-12 12:59:00,User_2
2.07,2024-02-05 13:22:00,User_3
2.26,2024-02-07 13:23:00,User_3
2.5,2024-02-08 13:23:00,User_3
2.01,2024-02-11 13:23:00,User_3
3.01,2024-02-13 18:46:00,User_3
3.25,2024-02-14 18:21:00,User_3
4.12,2024-02-17 23:16:00,User_3
4.0,2024-02-18 18:05:00,User_3
2.0,2024-02-19 17:52:00,User_3
3.59,2024-02-22 18:03:00,User_3
2.58,2024-09-17 19:04:00,User_3
1.55,2024-09-19 00:00:00,User_3
5.36,2024-09-21 17:51:00,User_3
3.97,2024-09-22 16:41:00,User_3
1.85,2024-09-24 20:52:00,User_3
3.41,2024-09-25 19:25:00,User_3
2.3,2024-09-27 19:58:00,User_3
4.75,2024-09-28 15:04:00,User_3
1.08,2024-10-10 20:12:00,User_3
0.46,2024-02-03 19:37:00,User_4
0.69,2024-02-03 19:34:00,User_4
0.18,2024-02-04 12:42:00,User_4
0.25,2024-02-05 15:50:00,User_4
1.43,2024-02-05 19:15:00,User_4
1.01,2024-02-06 18:20:00,User_4
0.78,2024-02-08 08:36:00,User_4
0.3,2024-02-09 15:35:00,User_4
0.56,2024-02-10 09:45:00,User_4
0.56,2024-02-10 13:44:00,User_4
0.38,2024-02-13 12:30:00,User_4
1.25,2024-02-14 18:13:00,User_4
0.55,2024-02-16 17:07:00,User_4
0.7,2024-02-17 10:52:00,User_4
2.0,2024-02-18 18:04:00,User_4
0.3,2024-02-22 17:12:00,User_4
0.78,2024-02-22 18:06:00,User_4
0.5,2024-02-24 10:33:00,User_4
0.46,2024-03-02 18:03:00,User_4
1.08,2024-09-11 00:00:00,User_4
2.46,2024-09-12 00:00:00,User_4
1.35,2024-09-13 00:00:00,User_4
0.68,2024-09-13 00:00:00,User_4
1.08,2024-09-14 19:58:00,User_4
1.15,2024-09-14 00:00:00,User_4
1.0,2024-09-17 00:00:00,User_4
0.42,2024-09-21 00:00:00,User_4
1.0,2024-09-22 00:00:00,User_4
0.36,2024-09-25 00:00:00,User_4
1.0,2024-09-26 00:00:00,User_4
1.0,2024-09-27 00:00:00,User_4
1.0,2024-09-29 00:00:00,User_4
1.0,2024-10-01 00:00:00,User_4
0.67,2024-10-04 00:00:00,User_4
0.0,2024-09-12 12:55:00,User_5
2.74,2024-09-11 18:30:00,User_5
1.19,2024-09-22 09:55:00,User_5
3.32,2024-09-26 17:59:00,User_5
3.24,2024-10-10 17:34:00,User_5
4.6,2024-02-17 19:24:00,User_6
2.52,2024-02-28 15:51:00,User_6
7.6,2024-02-29 15:50:00,User_6
1.93,2024-03-01 15:50:00,User_6
1.81,2024-03-06 15:52:00,User_6
2.46,2024-03-07 15:53:00,User_6
1.5,2024-03-17 20:22:00,User_6
2.17,2024-04-03 21:00:00,User_6
2.37,2024-04-04 21:00:00,User_6
4.32,2024-04-05 21:01:00,User_6
3.94,2024-04-06 21:01:00,User_6
4.88,2024-04-07 21:01:00,User_6
4.68,2024-04-08 21:01:00,User_6
8.13,2024-04-20 21:16:00,User_6
8.46,2024-04-21 12:10:00,User_6
1.54,2024-04-22 15:46:00,User_6
1.86,2024-04-23 15:45:00,User_6
1.55,2024-04-24 15:45:00,User_6
1.22,2024-04-25 15:44:00,User_6
1.6,2024-04-26 15:43:00,User_6
2.03,2024-04-27 15:43:00,User_6
1.8,2024-04-28 15:42:00,User_6
7.06,2024-05-01 15:40:00,User_6
1.2,2024-05-02 15:40:00,User_6
1.16,2024-05-03 15:40:00,User_6
3.27,2024-05-04 15:39:00,User_6
2.21,2024-05-05 21:24:00,User_6
1.1,2024-05-06 21:24:00,User_6
1.52,2024-05-07 21:25:00,User_6
4.34,2024-05-08 21:25:00,User_6
1.15,2024-05-10 21:25:00,User_6
2.46,2024-05-11 21:26:00,User_6
5.9,2024-05-12 21:27:00,User_6
1.2,2024-05-13 21:27:00,User_6
1.8,2024-05-14 21:27:00,User_6
1.6,2024-05-15 21:27:00,User_6
1.7,2024-05-16 21:27:00,User_6
10.2,2024-05-17 19:55:00,User_6
7.5,2024-05-18 19:56:00,User_6
0.0,2024-09-14 10:23:00,User_6
0.66,2024-02-03 19:54:00,User_7
3.4,2024-02-03 19:53:00,User_7
2.8,2024-02-04 16:02:00,User_7
2.06,2024-02-06 18:18:00,User_7
2.27,2024-02-06 18:19:00,User_7
2.3,2024-02-12 08:04:00,User_7
1.07,2024-02-12 09:02:00,User_7
2.75,2024-02-14 20:48:00,User_7
1.92,2024-02-18 18:45:00,User_7
2.6,2024-02-20 08:14:00,User_7
3.06,2024-03-02 17:40:00,User_7
2.09,2024-03-02 17:40:00,User_7
1.14,2024-03-02 17:40:00,User_7
2.18,2024-03-02 17:40:00,User_7
2.07,2024-03-04 21:32:00,User_7
1.82,2024-03-04 21:33:00,User_7
2.22,2024-03-08 10:24:00,User_7
2.79,2024-03-08 10:24:00,User_7
2.68,2024-03-09 10:24:00,User_7
0.83,2024-03-10 10:24:00,User_7
2.43,2024-03-13 08:37:00,User_7
2.16,2024-03-18 20:33:00,User_7
2.53,2024-03-18 20:33:00,User_7
0.34,2024-03-20 17:47:00,User_7
1.95,2024-03-20 17:47:00,User_7
1.81,2024-03-27 10:57:00,User_7
2.31,2024-04-08 20:43:00,User_7
2.01,2024-04-08 20:43:00,User_7
1.78,2024-04-08 20:43:00,User_7
2.73,2024-04-08 20:44:00,User_7
2.44,2024-04-08 20:44:00,User_7
2.13,2024-04-08 20:44:00,User_7
2.06,2024-05-08 09:21:00,User_7
2.14,2024-05-08 09:22:00,User_7
0.4,2024-05-08 09:22:00,User_7
2.15,2024-05-08 09:22:00,User_7
1.53,2024-05-08 09:22:00,User_7
0.6,2024-05-08 09:22:00,User_7
2.19,2024-05-08 09:22:00,User_7
3.35,2024-05-08 09:23:00,User_7
1.96,2024-05-08 09:23:00,User_7
2.84,2024-05-08 09:23:00,User_7
1.95,2024-05-08 09:23:00,User_7
0.93,2024-05-08 09:24:00,User_7
3.4,2024-05-08 09:24:00,User_7
1.12,2024-05-08 09:24:00,User_7
1.75,2024-05-08 09:24:00,User_7
1.65,2024-05-08 09:24:00,User_7
1.58,2024-05-08 09:24:00,User_7
2.6,2024-05-08 09:24:00,User_7
1.72,2024-09-18 07:08:00,User_7
3.33,2024-09-18 07:09:00,User_7
1.66,2024-09-18 07:09:00,User_7
2.66,2024-09-18 07:09:00,User_7
1.82,2024-09-18 07:09:00,User_7
1.89,2024-09-18 07:09:00,User_7
1.04,2024-09-20 17:14:00,User_7
3.45,2024-09-20 17:14:00,User_7
1.49,2024-09-23 19:25:00,User_7
1.03,2024-09-24 19:41:00,User_7
1.78,2024-09-25 06:58:00,User_7
3.39,2024-09-27 17:02:00,User_7
2.84,2024-09-30 08:08:00,User_7
3.68,2024-09-30 08:08:00,User_7
1.97,2024-09-30 08:09:00,User_7
0.0,2024-02-05 20:18:00,User_8
1.8,2024-02-06 16:46:00,User_8
2.2,2024-02-07 21:45:00,User_8
1.07,2024-02-09 18:17:00,User_8
2.23,2024-02-11 17:08:00,User_8
2.0,2024-02-12 19:01:00,User_8
3.0,2024-02-16 20:34:00,User_8
1.51,2024-02-18 21:15:00,User_8
3.0,2024-02-20 00:00:00,User_8
4.0,2024-02-21 18:00:00,User_8
3.13,2024-02-29 09:51:00,User_8
2.0,2024-03-12 11:40:00,User_8
1.7,2024-03-24 17:10:00,User_8
1.5,2024-03-24 17:10:00,User_8
1.5,2024-04-08 18:04:00,User_8
2.0,2024-04-29 20:18:00,User_8
2.0,2024-04-29 20:18:00,User_8
1.0,2024-05-06 19:55:00,User_8
0.0,2024-02-05 20:18:00,User_9
3.2,2024-02-05 22:45:00,User_9
1.69,2024-02-05 22:45:00,User_9
1.75,2024-02-06 11:55:00,User_9
1.69,2024-02-07 18:10:00,User_9
3.34,2024-02-07 18:11:00,User_9
2.08,2024-02-09 15:44:00,User_9
1.94,2024-02-09 15:44:00,User_9
2.67,2024-02-09 15:44:00,User_9
4.3,2024-02-12 18:05:00,User_9
2.56,2024-02-13 12:51:00,User_9
2.87,2024-02-14 10:49:00,User_9
1.75,2024-02-16 17:34:00,User_9
2.64,2024-02-16 17:34:00,User_9
1.75,2024-02-16 17:34:00,User_9
3.89,2024-02-19 14:26:00,User_9
1.73,2024-02-19 19:56:00,User_9
2.38,2024-02-20 11:42:00,User_9
3.0,2024-02-07 11:39:00,User_10
5.0,2024-02-07 11:39:00,User_10
3.0,2024-02-07 19:09:00,User_10
3.0,2024-02-08 13:44:00,User_10
4.0,2024-02-08 13:44:00,User_10
8.0,2024-02-11 15:05:00,User_10
4.0,2024-02-14 18:38:00,User_10
4.0,2024-02-18 12:05:00,User_10
11.0,2024-02-18 12:05:00,User_10
2.0,2024-02-21 20:02:00,User_10
4.0,2024-02-21 20:02:00,User_10
1.0,2024-02-26 20:39:00,User_10
9.0,2024-02-26 20:39:00,User_10
4.0,2024-02-26 20:39:00,User_10
4.0,2024-03-03 10:59:00,User_10
5.0,2024-03-05 18:46:00,User_10
3.0,2024-03-06 18:16:00,User_10
5.0,2024-03-09 08:59:00,User_10
5.0,2024-03-12 16:48:00,User_10
2.0,2024-03-12 19:12:00,User_10
8.0,2024-03-13 17:12:00,User_10
15.0,2024-03-17 14:19:00,User_10
3.0,2024-03-19 18:23:00,User_10
8.0,2024-03-21 17:55:00,User_10
18.0,2024-03-23 16:03:00,User_10
3.0,2024-03-26 11:00:00,User_10
9.0,2024-03-27 19:32:00,User_10
20.0,2024-03-31 10:29:00,User_10
3.0,2024-04-09 20:31:00,User_10
6.0,2024-04-09 20:31:00,User_10
8.0,2024-04-10 16:40:00,User_10
4.0,2024-04-14 13:53:00,User_10
13.0,2024-04-14 13:53:00,User_10
2.0,2024-04-15 08:56:00,User_10
4.0,2024-04-18 17:31:00,User_10
6.0,2024-04-25 10:16:00,User_10
5.0,2024-04-25 10:16:00,User_10
3.0,2024-04-25 10:17:00,User_10
3.0,2024-04-25 10:17:00,User_10
26.2,2024-04-29 20:38:00,User_10
2.0,2024-05-07 09:38:00,User_10
3.0,2024-05-15 12:31:00,User_10
2.0,2024-05-15 12:31:00,User_10
2.0,2024-05-15 13:13:00,User_10
4.0,2024-05-18 08:29:00,User_10
6.0,2024-05-19 09:19:00,User_10
2.95,2024-02-05 19:06:00,User_11
2.23,2024-02-06 19:44:00,User_11
2.91,2024-02-07 09:45:00,User_11
1.09,2024-02-08 19:07:00,User_11
3.67,2024-02-09 09:11:00,User_11
2.96,2024-02-13 19:41:00,User_11
3.63,2024-02-14 08:04:00,User_11
3.06,2024-02-16 10:42:00,User_11
2.93,2024-02-19 11:48:00,User_11
1.8,2024-02-19 18:19:00,User_11
1.0,2024-02-20 06:58:00,User_11
1.57,2024-02-21 22:10:00,User_11
1.5,2024-02-27 10:25:00,User_11
2.44,2024-02-28 07:29:00,User_11
4.13,2024-02-28 07:29:00,User_11
2.07,2024-02-28 19:38:00,User_11
1.0,2024-02-29 19:48:00,User_11
1.17,2024-03-03 13:34:00,User_11
2.67,2024-03-04 19:46:00,User_11
1.0,2024-03-05 20:09:00,User_11
2.41,2024-03-06 14:17:00,User_11
1.0,2024-03-06 21:56:00,User_11
2.2,2024-03-08 09:41:00,User_11
3.84,2024-03-08 09:42:00,User_11
1.1,2024-03-08 18:46:00,User_11
1.53,2024-03-10 19:50:00,User_11
3.49,2024-03-12 06:59:00,User_11
1.28,2024-03-13 12:31:00,User_11
2.31,2024-03-13 12:31:00,User_11
2.36,2024-03-13 19:34:00,User_11
1.31,2024-03-14 21:08:00,User_11
2.66,2024-03-18 20:12:00,User_11
1.28,2024-03-18 20:13:00,User_11
1.07,2024-03-19 19:33:00,User_11
1.68,2024-03-19 19:33:00,User_11
3.61,2024-03-20 06:13:00,User_11
1.06,2024-03-23 09:20:00,User_11
1.55,2024-03-25 17:37:00,User_11
2.36,2024-03-27 18:42:00,User_11
2.94,2024-03-28 20:54:00,User_11
4.02,2024-03-29 08:10:00,User_11
1.02,2024-03-29 19:32:00,User_11
2.59,2024-04-01 12:38:00,User_11
3.41,2024-04-02 17:38:00,User_11
3.75,2024-04-03 09:10:00,User_11
3.55,2024-04-07 11:46:00,User_11
1.37,2024-04-08 18:37:00,User_11
1.13,2024-04-09 12:33:00,User_11
4.07,2024-04-09 19:00:00,User_11
3.15,2024-04-10 06:40:00,User_11
1.03,2024-04-16 15:19:00,User_11
2.61,2024-04-17 20:43:00,User_11
2.88,2024-04-22 18:48:00,User_11
1.49,2024-04-22 19:07:00,User_11
2.84,2024-04-30 07:59:00,User_11
2.48,2024-05-01 12:18:00,User_11
1.62,2024-05-01 21:30:00,User_11
1.0,2024-05-02 18:07:00,User_11
3.61,2024-05-05 20:09:00,User_11
2.05,2024-05-06 21:39:00,User_11
1.0,2024-05-07 18:39:00,User_11
1.2,2024-05-08 20:29:00,User_11
3.58,2024-05-10 22:51:00,User_11
3.24,2024-05-13 20:00:00,User_11
1.22,2024-05-15 14:53:00,User_11
3.29,2024-05-16 19:08:00,User_11
0.73,2024-05-18 18:16:00,User_11
3.85,2024-05-20 21:15:00,User_11
1.57,2024-05-22 21:05:00,User_11
1.58,2024-05-23 21:56:00,User_11
4.31,2024-05-28 18:31:00,User_11
0.0,2024-09-12 12:56:00,User_11
1.5,2024-02-07 16:53:00,User_12
1.85,2024-02-07 16:54:00,User_12
2.3,2024-02-07 16:54:00,User_12
3.2,2024-02-07 18:39:00,User_12
6.59,2024-02-11 12:28:00,User_12
1.23,2024-02-13 18:58:00,User_12
1.0,2024-02-13 18:58:00,User_12
3.36,2024-02-14 18:20:00,User_12
1.81,2024-02-17 11:47:00,User_12
4.51,2024-02-18 13:13:00,User_12
2.72,2024-03-04 18:44:00,User_12
1.93,2024-03-07 15:43:00,User_12
0.61,2024-03-07 15:30:00,User_12
3.17,2024-03-10 14:31:00,User_12
1.9,2024-04-18 22:23:00,User_13
4.6,2024-06-03 21:13:00,User_13
2.91,2024-02-12 23:17:00,User_13
3.56,2024-02-22 13:38:00,User_13
4.58,2024-02-15 11:18:00,User_13
1.0,2024-02-16 18:07:00,User_13
1.56,2024-02-16 18:09:00,User_13
1.5,2024-02-18 00:00:00,User_13
0.77,2024-02-18 00:00:00,User_13
1.83,2024-02-21 16:33:00,User_13
2.07,2024-02-21 16:33:00,User_13
3.01,2024-02-22 13:37:00,User_13
5.35,2024-02-22 13:38:00,User_13
3.13,2024-02-28 21:49:00,User_13
1.08,2024-02-28 21:50:00,User_13
4.71,2024-02-29 20:06:00,User_13
2.76,2024-03-03 11:29:00,User_13
4.12,2024-03-04 12:49:00,User_13
4.1,2024-03-07 00:14:00,User_13
4.27,2024-03-11 18:27:00,User_13
4.14,2024-03-18 20:43:00,User_13
4.11,2024-03-28 11:42:00,User_13
4.24,2024-03-28 11:42:00,User_13
1.6,2024-04-06 14:57:00,User_13
3.28,2024-04-06 14:57:00,User_13
1.12,2024-04-14 18:39:00,User_13
3.65,2024-04-14 18:40:00,User_13
3.33,2024-04-14 18:41:00,User_13
6.72,2024-04-18 22:23:00,User_13
1.5,2024-04-18 22:25:00,User_13
3.29,2024-04-27 19:43:00,User_13
5.84,2024-04-27 19:44:00,User_13
3.68,2024-05-20 21:09:00,User_13
4.84,2024-05-20 21:10:00,User_13
3.22,2024-05-20 21:11:00,User_13
7.32,2024-05-20 21:12:00,User_13
12.06,2024-05-20 21:15:00,User_13
1.75,2024-06-03 21:10:00,User_13
13.24,2024-06-03 21:11:00,User_13
5.38,2024-06-03 21:11:00,User_13
6.63,2024-06-03 21:12:00,User_13
4.38,2024-06-03 21:13:00,User_13
4.0,2024-02-04 19:56:00,User_14
2.0,2024-02-06 19:56:00,User_14
3.0,2024-02-09 00:00:00,User_14
4.0,2024-02-10 18:15:00,User_14
4.0,2024-02-11 17:35:00,User_14
4.0,2024-02-13 17:48:00,User_14
3.0,2024-02-14 18:54:00,User_14
5.0,2024-02-18 12:00:00,User_14
3.5,2024-02-20 21:18:00,User_14
2.5,2024-02-21 11:37:00,User_14
1.0,2024-02-23 20:44:00,User_14
6.0,2024-02-24 13:25:00,User_14
3.0,2024-02-25 18:03:00,User_14
2.5,2024-02-27 00:00:00,User_14
2.0,2024-02-29 21:43:00,User_14
2.5,2024-03-02 11:04:00,User_14
4.0,2024-03-02 23:17:00,User_14
17.78,2024-03-03 16:45:00,User_14
4.5,2024-03-05 10:53:00,User_14
5.0,2024-03-07 09:09:00,User_14
3.5,2024-03-08 11:46:00,User_14
9.5,2024-03-11 13:04:00,User_14
3.0,2024-03-12 14:16:00,User_14
3.0,2024-03-15 09:00:00,User_14
2.5,2024-03-15 00:00:00,User_14
6.0,2024-03-16 00:00:00,User_14
6.5,2024-03-17 00:00:00,User_14
3.0,2024-03-19 14:58:00,User_14
3.0,2024-03-20 00:00:00,User_14
3.0,2024-03-22 00:00:00,User_14
3.5,2024-03-23 10:12:00,User_14
5.0,2024-03-24 14:19:00,User_14
2.0,2024-03-25 00:00:00,User_14
2.0,2024-04-01 00:00:00,User_14
3.0,2024-04-02 00:00:00,User_14
3.0,2024-04-03 00:00:00,User_14
2.0,2024-04-05 11:36:00,User_14
7.0,2024-04-06 00:00:00,User_14
5.0,2024-04-07 00:00:00,User_14
3.0,2024-04-08 00:00:00,User_14
3.0,2024-04-09 00:00:00,User_14
5.5,2024-04-10 00:00:00,User_14
3.5,2024-04-11 00:00:00,User_14
4.0,2024-04-13 13:04:00,User_14
